"","title","ark","is_quotidien"
"362","Journal des dames et des modes","cb32799510k",TRUE
"363","Le Globe ","cb327828335",TRUE
"364","La Réforme ","cb32850005s",TRUE
"365","L'Étoile ","cb32770151g",FALSE
"366","L'Espérance ","cb32768861f",FALSE
"367","L'Union nationale ","cb32884372b",TRUE
"368","La Croix de Saintonge et d'Aunis ","cb327531106",FALSE
"369","Lisette ","cb32808162s",TRUE
"370","Les Ailes ","cb326846379",TRUE
"371","L'Émancipateur ","cb32766316r",FALSE
"372","Le Zeramna ","cb32895007h",FALSE
"373","The Paris Times ","cb32833013q",TRUE
"374","L'Indépendant de Mostaganem ","cb32789668z",TRUE
"375","Le Réveil de l'Aisne ","cb32854011p",TRUE
"376","Le Petit Havre ","cb32836500g",TRUE
"377","L'Industriel alsacien ","cb32791266f",FALSE
"378","Bulletin quotidien de la Chambre de commerce ","cb32732906h",TRUE
"379","La France ","cb411796707",TRUE
"380","Le Nouvelliste d'Alsace ","cb34422391g",TRUE
"381","Journal officiel des Etablissements français de l'Océanie ","cb328021223",FALSE
"382","Recueil des actes administratifs de la Préfecture du département de la Seine","cb34413006m",FALSE
"383","Le Glaneur ","cb34399769c",FALSE
"384","Journal des finances ","cb343487991",TRUE
"385","La Petite Bourgogne ","cb328377248",TRUE
"386","Gazette ","cb32780022t",FALSE
"387","Affiches de Strasbourg ","cb326832280",FALSE
"388","Le Journal de Madagascar ","cb327984342",TRUE
"389","Le Réveil blayais ","cb32853808r",TRUE
"390","Le Libéral","cb32806487g",TRUE
"391","La Croix des Alpes et de Provence","cb427648231",FALSE
"392","La Croix du littoral ","cb32753180c",FALSE
"393","L'Aéro ","cb32682874k",TRUE
"394","La Patrie créole ","cb328338028",TRUE
"395","Bulletin religieux de l'archidiocèse de Rouen","cb32732967q",FALSE
"396","Combat ","cb34501455d",TRUE
"397","Petit Tlemcenien","cb32837604c",FALSE
"398","Annonces","cb32695181v",TRUE
"399","Le Progrès de la Marne ","cb32844021s",TRUE
"400","Courrier des hôtels et Guide du commerce réunis ","cb32751020r",TRUE
"401","Courrier du Berry ","cb410619802",TRUE
"402","Journal de la Manche et de la Basse Normandie ","cb32798129n",TRUE
"403","L'Avenir de Seine et","cb32708499s",TRUE
"404","Le Progrès de Bel Abbès ","cb328438808",FALSE
"405","Journal des débats et des décrets","cb327995159",TRUE
"406","L'Appel au peuple ","cb32700348p",FALSE
"407","Journal des hommes libres de tous les pays","cb450927295",TRUE
"408","Le Petit Kabyle ","cb32836696m",TRUE
"409","Le Franc tireur ","cb32777201w",TRUE
"410","Les Courses ","cb32751806d",TRUE
